Producto,Fecha 1,Provedor,Precio,,,,
Chocolate Tutto Baileys x6,17/07/2024,Pozuelo,593,,,,
Chocolate Tutto Bombón x30,22/05/2024,Pozuelo,132,,,,
Chocolate Tutto Cookies Cream x44g,12/03/2025,Pozuelo,660,,,,
Chocolate Twix,08/04/2025,Fabiola ,440,,,,
Chocolatosas x 30,04/06/2024,Gomufa,31,,,,
Chop Suey Vigui 175g,26/01/2024,Llano,667,,,,
Chuleta Recorte ,26/05/2025,Cinta Azul,3.636,,,,
Chupa Beny Mango con chile-Sandia,18/07/2025,Fabiola,40,,,,
"chupa Halloween ""OREO""",03/07/2024,Felipe,80,,,,
Chupa Jumping Manitas y Patitas x30,11/07/2025,Solis,80,,,,
Chupa Manguis Willy x40*,13/06/2025,Serrano-Sol,60,,,,
Chupa Montes x10,02/07/2025,Fabiola,83,,,,
Chupa Puerquito x40,22/05/2020,Jesán,42,,,,
Chupa Sandia x40*,13/10/2023,Gomufa,62,,,,
Chupa Silbido x30,25/01/2024,Fabiola ,80,,,,
Chupa Tipitin Surtida 40,01/07/2025,Gomufa,41,,,,
Chupa Venus Kiss x 24,6/06/2025,Fabiola ,33,,,,
Chupón Marino,13/04/2024,Fabiola ,83,,,,
Chuzo Premier Mediano x100,07/10/2022,Solis,850,,,,
Cigarro Fisher ,20/05/2025,Solis,690,,,,
Cigarro Pall Mall Alaska,24/06/2025,British,2.191,,,,
Cigarro Pall Mall Cereza,18/12/2024,British,2.100,,,,
Cigarro Pall Mall Classico,07/07/2025,British,1.636,,,,
Cigarro Pall Mall Doble Tok-Ibiza,07/07/2025(,British,2.191,,,,
Cigarro Pall Mall Doble Vegas,07/07/2025,British,2.191,,,,
Cigarro Pall Mall Honolulu ,07/07/2025,British,1.734,,,,
Cinta Ancha Embalaje,16/07/2025,Serrano ,480,,,,
Cinta Scott Adhesiva Alma,19/06/2025,Vicente,71,,,,
Cloro Irex 3% 450 ml,1/07/2025,Canasta,234,,,,
Cloro IREX 900 ml,1/07/2025,Canasta ,358,,,,
Cloro irex Bolsa 200 ml,1/07/2025,Canasta,140,,,,
Clorox Bolsa 450 ml,24/05/2024,Jesán,391,,,,
Clorox Botella 250ml,20/01/2023,Jesán,246,,,,
Clorox Botella 946ml,29/09/2023,jesán,778,,,,
Coco Rallado 100g,26/06/2025,Serrano ,600,,,,
Coco Rayado Don Perucho 100g,27/03/2024,Gomufa,600,,,,
Cocoa Dulce 100G,11/12/2024,Pozuelo,542,,,,
Cocoa Dulce 200G,20/03/2024,Pozuelo,820,,,,
Cóctel D Frutas 🏡 Merjal 850 g,13/12/2024,Gomufa ,1.485,,,,
Coctel Melocotón Merjal 820g,18/10/2024,Repre,1.412,,,,
Cofal corriente 35 grs,23/02/2021,Gomufa,1.540,,,,
Cofal Fuerte 60gr,09/05/2022,Solis,2.590,,,,
Cola Cabello,23/01/2025,señora,120,,,,
Cola paño mini 100,23/01/2025,Almacén Milenio,400,,,,
Cola Tela China x 6u x 12s,23/11/2024,Vicente,180,,,,
Colado AGU Doy Pack x 4,17/01/2024,Llano,316,,,,
Colado Gourmet Frutas Flex 113,15/01/2025,Serrano ,325,,,,
Colado Heinz 113g,11/07/2025,Max,333,,,,
Colilla Regalo Adhesiva x80,21/11/2023,Casoma,14,,,,
Colilla Regalo x 20,21/11/2023,Casoma,39,,,,
Colonia Para Niños Pekes,08/01/2020,Vicente,730,,,,
Compas Maped Plastico,31/08/2022,Vicente,579,,,,
Condimento Bahía 49 g,03/06/2022,Maxi,62,,,,
Condimento La Estrella 50g *,20/10/2020,Canasta,103,,,,
Conf Barra Freegells Extra Fuerte x 12,18/07/2025,Fabiola ,83,,,,
Conf Barrilete x 50,23/04/20025,Serrano,26,,,,
Conf Bianchi Línea x24*,22/12/2023,Fabiola,80,,,,
Conf Bianchi x 100,28/05/2024,Gomufa,20,,,,
Conf Bola Cola x250 *,15/03/2022,Fabiola,12,,,,
Conf Butter x100,12/04/2024,jack's ,10,,,,
Conf Chao Mora Azul x2,18/04/2023,Gomufa,21,,,,
Conf Chao Xtreme ,29/10/2024,Gomufa ,16,,,,
Conf Conejo Blanco 108g,22/11/2021,Gomufa,74,,,,
Conf Cookies Cream x 100,13/08/2024,Gomufa ,16,,,,
Conf De Cepillo Candy Brush x24,19/10/2024,Gomufa ,84,,,,
Conf Frupy Frutas,26/01/2024,Diana,8,,,,
Conf Frupy Soda x 100,08/04/2022,Diana,8,,,,
Conf Fruwi Balls *20,03/04/2024,Fabiola,80,,,,
Conf Fruwi Crunchy x 100,15/10/2024,Gomufa ,20,,,,
Conf gallito Fresita x 42 ,26/06/2025,DosPinos,19,,,,
Conf Gallito Frutini x 50*,26/06/2025,Dos Pinos,17,,,,
Conf Gallito Morenito x50,05/06/2025,Dos Pinos,17,,,,
Conf Lokiño Linea,17/08/2021,Fabiola,40,,,,
Conf Lokiño Masticable x 100,21/06/2025,Fabiola ,16,,,,
Conf Masticable Bon Bon Bum Fresa 8g,14/11/2023,Gomufa,27,,,,
Conf Mentas Limón y Eucalipto x50,23/05/2025,Gomufa,26,,,,
Conf Mini Bum Surt,25/01/2024,Gomufa,13,,,,
Conf Revolcón Átomos,23/01/2023,Gomufa,40,,,,
Conf Spray x 24 chisguetazo,08/07/2024,Fabiola,125,,,,
Conf Tirudito Coco x50,07/05/2025,Serrano ,40,,,,
Conf Willy Menta x 100,11/06/2025,"Solis,Gomuf,Fab,Serr",8,,,,
Conf Yogger 5g x 100,19/06/2023,Gomufa,16,,,,
Conito Choco Crunch x 20,25/03/2025,Fabiola ,83,,,,
Conito Marsmelo Ice cream Relleno xb0,19/03/2025,Fabiola ,83,,,,
Cono Azucarado 130g,11/12/2024,Dos Pinos,1088,,,,
Consomé Knorr Arroz 8g,06/05/2025,Insoma,105,,,,
Consomé Maggi Camarón 10g,1/07/2025,Serrano,110,,,,
Consomé Maggi Color y Sabor 8g,11/06/2025,Serrano ,96,,,,
Consomé Maggi Costilla 10g,10/07/2025,Serrano ,96,,,,
Consomé Maggi Mi Sazón 10g,04/12/2024,Serrano ,96,,,,
Consomé Maggi Naturalismo x 4,22/06/2022,Maxi,88,,,,
Consomé Maggi Pinto 8g,05/11/2024,Canasta,117,,,,
Consomé Maggi Pollo 10g,10/07/2025,Serrano,96,,,,
Consomé Maggi Res 10g,10/07/2025,Serrano ,96,,,,
Consomé Sazón Completo 10g,28/06/2024,Solis,65,,,,
"Cordón Mediano 36"" Par",04/06/2024,Cadena*,145,,,,
"Cordón Pequeño N 24""",17/01/2022,lipan,60,,,,
Corrector Lapicero pointer,18/07/2024,Vicente,340,,,,
Corta Uñas Grande,05/07/2025,Vicente,440,,,,
Corta Uñas Med Corona,23/01/2025,Vicente,315,,,,
Corta Uñas pequeño,04/06/2024,Cejas,200,,,,
Crayola 12 Und,00/00/2019,G,780,,,,
Crema Dulce Coronado,22/03/2022,Max,910,,,,
Crema Maggi Cola Res,24/12/2024,Canasta,751,,,,
Crema Maggi Delicias de la Reina¹³,28/09/2023,Canasta,552,,,,
Crema Maggi Hongos M,1/07/2025,Max,640,,,,
Crema Maggi Mariscos,05/11/2024,Max,751,,,,
Crema Maggi Tomate,03/07/2021,Maxi,620,,,,
Crema Nivea Lata 20ml,17/05/2024,Solís ,865,,,,
Crema Pantene Liso 1x24*,18/07/2023,Solis,83,,,,
Crema Pantene Rizos 1x24*,07/11/2023,Gomufa,83,,,,
Crema Pond's Humectante 10*8.5g,26/05/2023,Insoma,331,,,,
Crema Sedal Liso x24,11/12/2024,Insoma ,98,,,,
Crema Sedal Rizo x28 x 9 ml,10/07/2025,Serrano ,112,,,,
Crema Sr Cofee 180g,19/12/2023,Canasta,919,,,,
Crema Vigui 175 g,18/09/2021,Canasta,360,,,,
Cuchara Desech Link 12und*,01/02/2024,Canasta,224,,,,
Cuerda Naylon 10 mts,26/06/2025,Serrano,317,,,,
Curita Cure Band x 100 u,16/07/2025,Serrano,9,,,,
Cutter 18MM Vicente,23/06/2022,Vicente,889,,,,
Dermo Gel Olimpo almohada 250 ml,13/11/2021,Jesán,610,,,,
Dermo Gel Olimpo Botella 130 ml,13/11/2021,Jesán,928,,,,
Desinfectante Fabuloso 450 ml**,01/08/2023,Canasta,545,,,,
Desinfectante Fabuloso 750 ml,1/07/2025,Serrano ,835,,,,
Desinfectante Tronex 425 ml,1/07/2025,Canasta,435,,,,
Desodorante Dove Aclarante ,30/06/2019,Maxi,0,,,,
Desodorante Dove on roll,09/06/2023,Solis,820,,,,
Desodorante Lady Speed Barra,13/06/2025,Solis,1.900,,,,
Desodorante Rexona Barra M**,07/05/2025,Serrano ,2.100,,,,
Desodorante Rexona Clinical 48 g,04/06/2025,Serrano ,380,,,,
Desodorante Rexona Rollon H ,26/06/2025,Solís ,820,,,,
Desodorante Rexona Rollon M,26/06/2025,Serrano,780,,,,
