Producto,Fecha 1,Provedor,Precio,,,,
Salsa Taiwán Soya 145G**,30/01/2023,Max,650,,,,
Sardina Sard Ovalada260g,24/02/2021,Maxi,1.300,,,,
Sardina Sard Picante 160¹,07/02/2025,Repre,579,,,,
Sardina Sard Tomate 160g¹,10/05/2025,Repre,550,,,,
Sazón Completa Bahía,02/12/2020,Maxi,500,,,,
Sazonador ajo perejil x4,03/09/2020,Maxi,520,,,,
Semilla Mixta,05/07/2023,Pozuelo,461,,,,
Servilleta Link 100u,04/03/2025,Canasta,386,,,,
Servilleta Nevax cuadrada x 100,19/10/2024,Represent ,706,,,,
Set de Agujas,24/10/2024,Vicente,150,,,,
Shampoo Dove Reconstrucción ,19/02/2025,Serrano,97,,,,
Shampoo Head Shoulder Rosado x 24,02/07/2025,Serrano ,83,,,,
Shampoo Palmolive sachet x24,16/04/2025,Serrano,78,,,,
Shampoo Pantene Equilibrio x24,10/07/2025,Solís -Serr,83,,,,
Shampoo Pantene Rizo x24,10/07/2025,Serrano,83,,,,
Shampoo Savile 2 en 1 x 28,19/04/2024,Insoma,84,,,,
Shampoo Sedal Liso x 28,30/10/2024,Serrano ,96,,,,
Shampoo Sedal Negro x 28,30/10/2024,Serrano ,96,,,,
Silicón Barra Delgada x12,23/01/2025,Vicente,100,,,,
Silicón Barra Gruesa x12,28/08/2024,Vicente,275,,,,
Silicón Frío 100ml,19/06/2025,Vicente,690,,,,
Silicón Frío 30ml,10/11/2023,Vicente,361,,,,
Silicón Frío 60 ML,19/06/2025,Vicente,490,,,,
Sirope Cibal 700ml,05/04/2022,Gomufa,500,,,,
Sirope La Mu-Sabemas*,11/08/2024,Maxi,720,,,,
skate x 20/,22/12/2023,Fabiol,83,,,,
Snack Bocadeli Buenacho,02/07/2025,Gomufa ,83,,,,
Snack Bocadeli Frijolini x24*,02/07/2025,Fabiola G,83,,,,
Snack Bocadeli gustito Manitas,06/06/2025,Diana,125,,,,
Snack Bocadeli Gustitos,02/07/2025,Fabiola G*,83,,,,
Snack Bocadeli Papasitas,27/08/2024,Fabiola G,83,,,,
Snack Bocadeli Quesi-trix Chile,14/07/2025,Gomufa ,83,,,,
Snack Bocadeli Trompeta,02/07/2025,Fabiola ,83,,,,
Snack Chipps Palomitas Mixtas,2/07/2025,Serrano,1001,,,,
Snack Chipps Tocinito ,16/07/2025,Serrano ,100,,,,
Snack Diana Alboroto 23G-19-23-26,02/07/2025,Fabiola ,125,,,,
Snack Diana Candy Maiz18G-15,02/07/2025,Diana,125,,,,
Snack Diana Churrito 12G-10-8-13,23/08/2023,Diana,125,,,,
Snack Diana Elotitos Barbac 22G-18,15/12/2023,Diana,125,,,,
Snack Diana Elotitos Limón 23,18/11/2022,Diana,125,,,,
Snack Diana Elotitos Picante 22G-18-25,19/12/2023,Diana,125,,,,
Snack Diana Jalapeña 20G 28,02/07/2025,Fabiola ,125,,,,
Snack Diana Maíz Chino 15g-10,18/12/2021,Diana,125,,,,
Snack Diana Nachos 20G,05/04/2019,Diana,83,,,,
Snack Diana palito 24G,11/11/2022,Diana,125,,,,
Snack Diana Quesito 17G-13 16,23/11/2023,Diana,125,,,,
Snack Felipe papa palillo x 40,18/07/2025,Felipe,80,,,,
Snack Felipe Papa Tony 120g,15/05/2025,Felipe,800,,,,
Snack Felipe Papa Tony x40*,29/05/2025,Felipe,80,,,,
Snack Felipe Papa Transp,12/06/2025,Felipe,100,,,,
Snack Felipe Plátano Barbacoa ,26/06/2025,Felipe,100,,,,
Snack Felipe plátano dulce,06/02/2025,Felipe,80,,,,
Snack Felipe Plátano Entero -s,26/06/2025,Felipe,100,,,,
Snack Felipe Plátano Limón ,06/02/2025,Felipe ,80,,,,
Snack Felipe Sorbeto Borona,27/02/2024,Felipe,120,,,,
Snack Felipe Yuca,26/06/2025,Felipe,120,,,,
Snack Jack's Chicharrón 15g*,31/05/2024,Jacks,81,,,,
snack Jack's Doraditas 18 g,29/05/2025,Jack's ,125,,,,
Snack Jack's Meneito 20 g,05/07/2025,Jacks,167,,,,
Snack Jack's Meneito Med 58g,14/02/2024,jack's,458,,,,
Snack Jack's Picarita 30G*27*,05/07/2025,Jacks,167,,,,
Snack Jack's Poropoz 20g,21/06/2025,Jack's,83,,,,
Snack Kitty Chicharrón x25*,23/08/2023,Fabiola,100,,,,
Snack Kitty kronchito 48g x25*,21/06/2025,Fabiola,120,,,,
Snack Kitty Palillo Queso x25u*,21/06/2025,Fabiola,100,,,,
Snack Kitty Palomita Dulce x25*,05/12/2023,Fabiola,100,,,,
Snack Kitty Papa Mayonesa*15,04/04/2023,Fabiola,229,,,,
Snack Kitty Papa x30*,02/07/2025,Fabiola ,120,,,,
Snack Kitty Rikos Chipotle ,21/06/2025,Fabiola,100,,,,
Snack kitty Rikos x 25*,07/09/2024,Fabiola,100,,,,
Snack kitty Surtimix x25*,16/04/2025,Fabiola,100,,,,
Snack Kitty Tortilla Oferta 120g,2/11/2024,Fabiola ,825,,,,
Snack Kitty Yuca Chile x25*,18/01/2022,Asiel,100,,,,
Snack kitty Yuca Limón x25*,24/12/2021,Fabiola,80,,,,
Snack pop Pizza,2/10/2024,Alfa,82,,,,
Snack Pringles Cebolla 40g *,08/05/2024,Serrano,650,,,,
Snack Pringles Queso 40g,21/10/2024,Serrano,650,,,,
Snack Tosty Bolita Queso Refill,04/07/2025,Tosty,84,,,,
Snack Tosty Bravo Re-Fill x 30 U,16/05/2025,Tosty,125,,,,
Snack Tosty Chirulito 48G,18/07/2025,Tosty,250,,,,
Snack Tosty Papiola 30 g,04/07/2025,Tosty,292,,,,
Snack Tosty Pizzerola 45g x10**,10/05/2024,Tosty,250,,,,
Snack Tosty Quesito 30g x10**,18/07/2025,Tosty,250,,,,
Snack Tosty Quesito Refill 18g**,12/06/2025,Tosty,84,,,,
Snack Tosty Rumba Chicharron 8G**,06/06/2025,Tosty,125,,,,
Snack Tosty Rumba Patacones 60g,16/05/2025,Tosty ,505,,,,
Snack Tosty Rumba redondita 175g**,2/05/2025,Vihusa,667,,,,
Snack Tosty Rumba redondita 30g**,22/11/2024,Tosty,125,,,,
Snack Tosty Tronadita 35 x10**,06/06/2025,Tosty,250,,,,
Snack Yummies Anillitos 18g,21/04/2022,Dinant,83,,,,
Snack Yummies Cappy Infladito 16g,15/04/2025,Dinant,125,,,,
Snack Yummies Cappy Picante,27/02/2025,Dinant,125,,,,
Snack Yummies Pop Queso,17/07/2025,Dinant,167,,,,
Snack Yummies Ranchita Búfalo Ranch ,17/07/2025,Dinant,125,,,,
Snack Yummies Ranchita Exita 25 g,17/07/2025,Dinant,125,,,,
Snack Yummies Ranchita Extrema 25 g,17/07/2025,Dinant,125,,,,
Snack Yummies Ranchita Guacamole 25 g,22/05/2025,Dinant,125,,,,
Snack Yummies Ranchita Pizza 25 g,10/07/2025,Dinant,125,,,,
Snack Yummies Ranchita Queso 25 g,10/07/2025,Dinant,125,,,,
Snack Yummies Taquerito Chile 36 qhk g,03/07/2025,Dinant,208,,,,
"Snack Yummies Taquerito Dragón Hielo 18gs,",06/06/2025,Dinant,208,,,,
Snack Yummies Taquerito Ques 36g,03/07/2025,Dinant,208,,,,
Snack Yummies Zambos Plátano 36 g,3/07/2025,Yummies ,167,,,,
Snack Yummies Zibàs Miel Most,17/07/2025,Dinant,250,,,,
Snacks Jack's Cebollino 11g,18/07/2024,Jacks,122,,,,
Snacks Jack's Popicaramelo 27g,01/12/2023,Jack's,208,,,,
Sobre Blanco Corto,22/05/2025,Vicente,13,,,,
Sobre Blanco Largo,27/10/2023,Cadena,23,,,,
Sobre Manila # 3 x50u,29/01/2021,Casoma,15,,,,
Soldadura Tubo Estaño,13/10/2021,Vicente,1.010,,,,
Sopa Knorr Pollo fideos,15/08/2021,Maxi,350,,,,
Sopa Laky Pollo 80g bolsa,28/02/2025,Repre,294,,,,
Sopa Laky Pollo vaso 75g¹³,27/06/2025,Repre,452,,,,
Sopa Laky Res,27/12/2024,Repre,452,,,,
Sopa Maggi Cola des Res,21/02/2025,Walmart ,690,,,,
Sopa Maggi Costilla 58g,12/02/2025,Solis,365,,,,
Sopa Maggi Negra 60g,20/11/2024,Canasta,572,,,,
Sopa Maggi Olla Carne 40g,21/02/2025,Canasta,479,,,,
Sopa Maggi pollo 55g*,13/06/2025,Solis-Serr ,365,,,,
Sopa Maggi Pollo peq,21/05/2024,Canasta,240,,,,
Sopa Maggi Res c Fideos ,21/02/2025,Mac,333,,,,
Sopa Maggi Tortilla,03/09/2019,Maxi,370,,,,
Sopa Maruchan Camaron**,13/02/2025,Canasta,573,,,,
Sopa Maruchan Pollo c/Chile**,1/07/2025,Canasta ,573,,,,
Sopa Maruchan Pollo**,1/07/2025,Canasta ,573,,,,
Sopa Maruchan Queso 64gr**,1/07/2025,Canasta,573,,,,
Sopa Maruchan Res*,13/02/2025,Canasta,573,,,,
Sopa Rapidita Pollo Res**,03/09/2022,Canasta,392,,,,
Soplete Recargable,05/06/2024,Serrano,1.150,,,,
Sorbeto Jack's Cereal 24g,7/03/2025,Jack's ,120,,,,
Sorbeto Tosh Wafer piña Yogurt,29/11/2023,Pozuelo,253,,,,
Sorbeto Waffix x Limón 16,02/04/2025,Serrano ,80,,,,
Sorbeto Waffles Festival,16/08/2023,Pozuelo,148,,,,
Sorbetto wafles colombina x24,07/06/2022,Gomufa,49,,,,
Suavitel bolsa 300 ml** doy pack,11/07/2025,Solis,690,,,,
Suavitel Bolsa 80ml**,1/07/2025,Serrano,229,,,,
Suavitel botella 450ml**,07/03/2025,Solis,860,,,,
Suavitel Botella 850 ml,07/03/2025,Solis,1.275,,,,
Suspiro Doña Ol 35g,22/04/2024,Gomufa,458,,,,
Suspiro Monserrat ,28/06/2024,Fabiola ,307,,,,
Talco Dexipies 100g,14/10/2022,Solis,480,,,,
Talco Kirks 125gr,16/07/2025,Serrano,650,,,,
Talonario Rifa GD,02/08/2024,Vicente,160,,,,
Tang Fresa ,1/07/2025,Serrano ,195,,,,
Tang Guayaba,07/06/2024,Alfa,184,,,,
Tang Limón *....,1/07/2025,Serrano ,158,,,,
Tang Manzana,1/07/2025,Serrano ,195,,,,
Tang Maracuya,23/10/2024,Serrano ,195,,,,
Tang Naranja,12/03/2025,Serrano ,195,,,,
Tang Piña,08/07/2025,Alfa,167,,,,
Tang Ponche,08/07/2025,Alfa,167,,,,
Tang Té Limón,1/07/2025,Serrano ,195,,,,
Tang Té Melocotón,08/07/2025,Alfa,167,,,,
Tang Uva 8,1/07/2025,Max,141,,,,
Tape Negro peq x 12,23/01/2025,Vicente ,184,,,,
Tarjeta Claro 1000,11/07/2023,Claro,940,,,,
Tarjeta Claro 2000,11/02/2022,Claro,1.880,,,,
Tarjeta Claro 500,05/03/2022,Claro,470,,,,
Tarjeta Kolbi 1000,22/01/2022,kolbi,940,,,,
Tarjeta kolbi 2000,11/02/2022,Kolbi,1.880,,,,
Tarjeta Movistar 1000,10/12/2024,liberty,940,,,,
Tarjeta Movistar 2000,10/12/2024,liberty,1.880,,,,
Té Blanco Dos Pinos 250 ml,12/03/2025,Dos Pinos ,200,,,,
Té Fuze Melocotón 250 ml,03/07/2024,Femsa,167,,,,
Té Hic Melocotón,18/10/2023,Femsa,416,,,,
Té Manza-te 7 Azhares,29/07/2022,Max,1.360,,,,
Té Manza-té Canela x25,21/04/2025,Maxi,1.270,,,,
Té Manza-té Colite x25,09/10/2024,Manzaté,1.333,,,,
Te Manza-té Digestivo x25,21/04/2025,Max,1.170,,,,
Te Manza-té Hoja senn,05/05/2021,Manzaté,1.340,,,,
Té Manza-té Manzanilla bolsa x 25,24/12/2024,Manzaté ,560,,,,
Te Manza-té Manzanilla x100,12/03/2025,Manzaté,3.539,,,,
Té Manza-té Menta x25,11/05/2022,Manzaté,1.298,,,,
Té Manza-té Negro x20,28/08/2024,Manzaté,693,,,,
Té Manza-té Rooibos 1 x20,08/10/2024,Manzaté,1.613,,,,
Té Manza-té Tilo x20,06/06/2025,Manz Maxi,1.220,,,,
Té Manza-té Tranquilo,06/06/2025,Manz Maxi,1.350,,,,
Té Manza-té Verde,22/05/2024,Manzaté,1.331,,,,
Té Manzanilla Menta x25,03/08/2022,Manza té,1.130,,,,
"Teflón 1/2"" x 10",12/05/2021,Vicente,122,,,,
Témpera Faber x 6,23/04/20025,Vicente ,1060,,,,
Tenedor Desechable Link peq x12,05/02/2020,Canasta,224,,,,
Tijera Escolar Eco,03/04/2025,Vicente ,320,,,,
"Tijera incolma 9""",09/08/2024,Insoma,6.435,,,,
Tinte Gallo Azul Negro,09/05/2022,Gomufa,600,,,,
Tiras Pato Activa x3,01/09/2023,Llano,1.073,,,,
Tiza Blanca,10/01/2022,Casoma,165,,,,
Tiza de Color x 10u,10/01/2022,Casoma,248,,,,
Toalla Amiga,14/10/2022,Jesán,612,,,,
"Toalla Cocina Nevax ""Verde""Doble hoja",19/10/2024,represent,1.050,,,,
Toalla Cocina Nevax 1000*,24/06/2025,RP,661,,,,
Toalla cocina Scott 80h**,07/12/2024,Jesán,655,,,,
Toalla kotex BN C/A x8*,27/03/2023,Maxi,600,,,,
Toalla Kotex Esencial S/,27/01/2023,Jesán,753,,,,
Toalla Saba BN Alas x8,22/11/2024,Solis,1.050,,,,
Toalla Saba Classica C/ x 10 u*¹,18/06/2025,Solis,670,,,,
Toalla Saba Invisible Delgada 7u*,22/05/2023,RP,813,,,,
Toalla Silueta Nocturna x 8,30/10/2024,Serrano ,900,,,,
Toallita Huggies Manitos x 48,1/07/2025,Insoma ,1.035,,,,
Toallita Húmedas Choice 50u,28/02/2025,Solis,650,,,,
Torta Carne x 8,01/10/2024,Cinta Azul,316,,,,
Torta pollo As Oros x24 **,17/06/2025,Cinta Azul,325,,,,
Tortilla Campesina 373g 1x15 ∆,07/11/2022,Tortirica,1.125,,,,
Tortilla de trigo,06/10/2022,Tortirica,1.830,,,,
Tortilla Delicias 185g x10u ∆,24/02/2023,Tortirica,446,,,,
Tortilla Hacienda 160g,13/03/2025,Hacienda,375,,,,
Tortilla tortirica 185g x10u ∆,09/04/2022,Tortirica,765,,,,
Tortilla Tostada 250 grs,27/07/2021,tortirica,918,,,,
Trampa Caza Facil,27/11/2024,Serrano ,350,,,,
Trampa gato De Papel,11/10/2021,Gomufa,432,,,,
Trident 4s Fresa **,30/05/2025,Alfa,107,,,,
Trident 4s Menta **,02/07/2025,Serrano ,99,,,,
Trident 4s Mora Azul,06/10/2023,Fabiola,100,,,,
Trident 4s Yerba Buena**,30/05/2025,Alfa-frasco,70,,,,
Trident Tableta Fresa**,29/01/2025,Alfa,263,,,,
Trident tableta Menta**,03/06/2025,Alfa,301,,,,
Trident Tableta Mora**,03/06/2025,Alfa,301,,,,
Trident Tableta Yerbabuena,12/05/2025,Alfa,301,,,,
Trululú Marsmelo Barrilete,2/04/2025,Serrano ,400,,,,
Vainilla Rika 60ml*,05/11/2024,Canasta,588,,,,
Vanish Blanco 100ml,02/05/2025,Repre,434,,,,
Vanish Blanco Intell 30,01/03/2023,Repre,350,,,,
Vanish Rosa 100ml,07/02/2025,Repre,434,,,,
Vaso Desechable #9,4/03/2025,Canasta,421,,,,
Vaso Desechable Festival #12,13/02/2025,Canasta,398,,,,
Vaso Desechable Festival #5 Fest,13/02/2025,Canasta,297,,,,
Vaso Desechable Festival #7,1/07/2025,Canasta,293,,,,
Vaso Desechable Link # 7,4/03/2025,Canasta ,371,,,,
Vegetales Mixtos Tropico 215G,19/11/2024,Llano,524,,,,
Vick Vapo Rub 50g,03/11/2021,British,1.981,,,,
Vick Vapo Rub Lata 12G,02/11/2021,British,571,,,,
Vinagre Alfaro Claro 700 ml¹³,23/12/2024,Canasta,643,,,,
Vinagre Alfaro Oscuro 700 ml¹³,21/04/2025,Canast,658,,,,
Vinagre Manzana 500ml,16/07/2025,Serrano ,810,,,,
Vinagreta Mango Chía,21/11/2023,Gomufa,1.457,,,,
Vinagreta Maracuyá Amapola,01/11/2022,Gomufa,1.226,,,,
Vitamaíz Cristal 175g*,28/06/2023,Canasta+,714,,,,
Vitamaíz Cristal 75G*,08/04/2025,Canasta,379,,,,
Yogurt Coronado Bolsa 180g,03/07/2025,DosPinos,364,,,,
Yogurt Coronado liquido 200m**,03/07/2025,DosPinos,600,,,,
Yogurt Toppin Arroz 150g,22/05/2025,Dos Pinos,888,,,,
Yogurt Topping Chocolate 150g*,04/10/2023,Dos Pinos,845,,,,
Zepol Crema Adulto 30g,07/02/2025,RP,1.505,,,,
Zepol Crema Infantil 30g,23/12/2024,RP,1.049,,,,
Zepol Muscular 30g,22/06/2025,RP,1.003,,,,
Zepol Muscular Sachets,14/04/2023,Repre,188,,,,
Zepol Ungüento Adulto 30gr,24/06/2025,RP,1.400,,,,
Zepol Ungüento Adulto Cajita 10 g x 6,09/05/2025,RP,485,,,,
Zepol Ungüento Niño 30g,04/02/2023,RP,1.250,,,,
Zorritone Barra,22/06/2025,Solis,320,,,,
Zorritone barra jengibre,29/11/2024,Solis,320,,,,
